# Indice      RAJ2000    Dec        Jmag     Hmag     Kmag     umag     gmag     rmag     imag     zmag    
  object170   46.98496   -3.21253   16.11    15.472   15.34    999       999       999       999       999      
  object171   49.34266   -5.34319   13.818   13.135   12.892   999       999       999       999       999      
  object172   49.17293   -4.91948   14.946   14.223   14.065   999       999       999       999       999      
  object173   47.81023   -4.6459    15.49    14.999   14.651   999       999       999       999       999      
  object174   48.93761   -4.46179   15.186   14.52    14.448   999       999       999       999       999      
  object175   48.93007   -4.02016   16.687   16.041   15.493   999       999       999       999       999      
  object176   49.49114   -3.73538   999       999       999       999       999       999       999       999      
  object177   48.82513   -3.67909   16.566   16.344   15.941   999       999       999       999       999      
  object178   49.37166   -3.62441   15.636   15.573   15.149   999       999       999       999       999      
  object179   49.08416   -3.53697   13.379   12.953   12.937   999       999       999       999       999      
  object180   50.22333   -3.41246   15.611   15.313   15.401   999       999       999       999       999      
  object181   49.05331   -3.37125   12.957   12.656   12.59    999       999       999       999       999      
  object182   51.51354   -4.82841   11.63    11.451   11.388   999       999       999       999       999      
  object183   51.42693   -4.20606   13.888   13.393   13.274   999       999       999       999       999      
  object184   52.17452   -4.06933   13.206   12.613   12.329   999       999       999       999       999      
  object185   1.59558    -7.90956   15.639   15.165   14.864   20.607   18.374   17.368   16.986   16.741  
  object186   1.20017    -5.82876   12.493   11.977   11.857   17.236   15.149   14.227   14.32    13.626  
  object187   3.75996    -8.05827   14.527   13.973   13.85    18.982   17.114   16.292   15.979   15.802  
  object188   3.18703    -8.03603   15.22    14.941   14.881   17.519   16.5     16.196   16.077   16.047  
  object189   3.52827    -7.05219   12.974   12.587   12.483   16.656   15.06    14.443   14.197   14.044  
  object190   3.65181    -7.83802   14.564   14.34    14.26    16.629   15.548   15.282   15.231   15.263  
  object191   4.06583    -6.2547    14.613   14.01    13.868   19.325   17.211   16.199   15.752   15.529  
  object192   4.33176    -6.21265   12.074   11.535   11.386   16.558   14.913   13.783   14.868   13.291  
  object193   6.90972    -6.44529   13.398   13.184   13.166   15.955   14.709   14.383   14.288   14.281  
  object194   6.73043    -6.3057    12.792   12.447   12.45    15.106   14.048   13.73    16.184   13.554  
  object195   7.60669    -6.14748   13.149   12.612   12.495   17.786   15.473   14.461   14.121   13.923  
  object196   7.74784    -5.89156   999       999       999       999       999       999       999       999      
  object197   10.34202   -8.43265   12.515   11.867   11.655   19.813   17.376   16.06    14.676   13.923  
  object198   8.64105    -8.14434   14.354   13.998   13.847   17.848   16.428   15.808   15.612   15.536  
  object199   10.11685   -7.99804   999       999       999       999       999       999       999       999      
  object200   11.06837   -7.56141   13.481   12.838   12.751   18.104   16.031   15.166   14.771   14.533  
  object201   10.67841   -6.63989   13.962   13.377   13.252   19.211   17.034   15.948   15.432   15.178  
  object202   9.63282    -6.20225   14.572   13.935   13.864   21.256   18.809   17.266   16.371   15.835  
